Core,dt,cps,num_steps,L2_Error_1,L2_Error_2,L2_Error_3,Linf_Error_1,Linf_Error_2,Linf_Error_3,Init_time,Elapsed_time
32,0.01,1600,50,0.0036531284551728823,0.0036531283396419078,0.18034804609430943,0.007295210118076043,0.0072873475727754985,0.18769153822910645,190.45599761,893.358169717
32,0.01,1600,50,0.003653128455056182,0.0036531283395251773,0.18034804609284968,0.007295210117888748,0.007287347572539132,0.18769153823606322,189.20497626899999,887.579457506
32,0.015,400,33,0.0004077712802366256,0.0004080114645801068,0.0151322007069752,0.0009207316057690789,0.0008934062027766604,0.01596698529712227,0.686594297,35.17762759
32,0.015,400,33,0.00040777128023670317,0.00040801146458018466,0.015132200706987477,0.0009207316057686348,0.0008934062027765494,0.01596698529713426,0.663500424,35.327869786
32,0.015,400,33,0.00040777128023648215,0.00040801146457997216,0.015132200706994664,0.0009207316057698561,0.0008934062027777706,0.0159669852971417,0.6879047500000001,35.476665885
32,0.015,400,33,0.000407771280236597,0.0004080114645800857,0.015132200706990286,0.0009207316057683018,0.0008934062027762163,0.01596698529713748,0.643590328,34.706768968
32,0.015,400,33,0.00040777128023619956,0.00040801146457968457,0.015132200706990707,0.0009207316057701892,0.0008934062027781037,0.015966985297135482,0.674867699,35.145778554
32,0.015,800,33,0.0018374022008507778,0.0018373444594612567,0.1848719049227764,0.003648123733903821,0.003656560881480042,0.18850906087868677,6.9460050980000005,126.176141506
32,0.015,800,33,0.0018374022008609125,0.0018373444594713447,0.18487190492276911,0.00364812373392436,0.003656560881499915,0.1885090608786971,6.9318895099999995,124.809813995
32,0.015,800,33,0.0018374022008473653,0.001837344459457789,0.18487190492276867,0.0036481237338971597,0.0036565608814730474,0.188509060878668,6.911990413,125.240333705
32,0.015,800,33,0.0018374022008606071,0.0018373444594710288,0.1848719049228389,0.003648123733923472,0.003656560881499693,0.18850906087876904,6.944861988,126.928904698
32,0.015,800,33,0.001837402200861564,0.0018373444594720256,0.18487190492272615,0.0036481237339253594,0.003656560881501469,0.1885090608786558,6.9411862939999995,125.711767856
32,0.015,1600,33,0.004015587355338126,0.00401558698443063,0.18065491144364373,0.008021795571211287,0.00801623083023644,0.18870424133215824,190.636553922,654.006987075
32,0.015,1600,33,0.004015587355651483,0.004015586984743973,0.18065491144368273,0.008021795571860545,0.008016230830865825,0.1887042413323461,188.840274262,656.013145929
32,0.015,1600,33,0.004015587355371521,0.004015586984464015,0.1806549114434955,0.008021795571282896,0.008016230830303608,0.18870424133205888,190.54953096,651.116124412
